,mark,model,generation
197,volkswagen,multivan,
198,volkswagen,new-beetle,
199,volkswagen,passat,gen-b3-1988-1993
200,volkswagen,passat,gen-b4-1993-1997
201,volkswagen,passat,gen-b5-1996-2000
202,volkswagen,passat,gen-b5-fl-2000-2005
203,volkswagen,passat,gen-b6-2005-2010
204,volkswagen,passat,gen-b7-2010-2014
205,volkswagen,passat,gen-b8-2014
206,volkswagen,passat-cc,
207,volkswagen,phaeton,
208,volkswagen,polo,gen-iii-1994-2001
209,volkswagen,polo,gen-iv-2001-2009
210,volkswagen,polo,gen-v-2009
211,volkswagen,polo,gen-vi-2017
212,volkswagen,scirocco,
213,volkswagen,sharan,gen-i-1995-2010
214,volkswagen,sharan,gen-ii-2010-sharan
215,volkswagen,t-cross,
216,volkswagen,t-roc,
217,volkswagen,tiguan,gen-i-2007-2016
218,volkswagen,tiguan,gen-ii-2016-tiguan
219,volkswagen,tiguan-allspace,
220,volkswagen,touareg,gen-i-2002-2010-touareg
221,volkswagen,touareg,gen-ii-2010-touareg
222,volkswagen,touareg,gen-iii-2018-touareg
223,volkswagen,touran,gen-ii-2010-2015
224,volkswagen,touran,gen-iii-2015-touran
225,volkswagen,touran,gen-i-2003-2010
226,volkswagen,transporter,gen-t3
227,volkswagen,transporter,gen-t4
228,volkswagen,transporter,gen-t5
229,volkswagen,transporter,gen-t6
230,volkswagen,up,
231,ford,b-max,
232,ford,c-max,gen-ii-2010-c-max
233,ford,c-max,gen-i-2003-2010-c-max
234,ford,ecosport,
235,ford,edge,
236,ford,escape,
237,ford,explorer,
238,ford,f150,
239,ford,fiesta,gen-mk5-1999-2002
240,ford,fiesta,gen-mk6-2002-2008
241,ford,fiesta,gen-mk7-2008
242,ford,fiesta,gen-mk8-2017
243,ford,focus,gen-mk2-2004-2011
244,ford,focus,gen-mk3-2010
245,ford,focus,gen-mk4-2018
246,ford,focus,gen-mk1-1998-2004
247,ford,focus-c-max,
248,ford,fusion,
249,ford,galaxy,gen-mk1-1995-2005
250,ford,galaxy,gen-mk2-2000-2005
251,ford,galaxy,gen-mk2-2006-2015
252,ford,galaxy,gen-mk3-2015
253,ford,grand-c-max,
254,ford,ka,gen-i-1996-2008
255,ford,ka,gen-ii-2008-ka
256,ford,ka,gen-ii-2008-ka
257,ford,ka_plus,
258,ford,kuga,gen-ii-2012-kuga
259,ford,kuga,gen-ford-kuga-iii
260,ford,kuga,gen-i-2008-2012
261,ford,maverick,
262,ford,mondeo,gen-mk2-1996-2000
263,ford,mondeo,gen-mk3-2000-2006
264,ford,mondeo,gen-mk4-2007-2014
265,ford,mondeo,gen-mk5-2014
266,ford,mustang,
267,ford,mustang-mach-e,
268,ford,puma,
269,ford,ranger,
270,ford,s-max,gen-i-2006-2015
271,ford,s-max,gen-ii-2015-s-max
272,ford,tourneo-connect,
273,ford,tourneo-courier,
274,ford,tourneo-custom,
275,ford,transit,gen-iv-1994-2000
276,ford,transit,gen-v-2000-2006
277,ford,transit,gen-vi-2006
278,ford,transit,gen-vii-2013
279,ford,transit-connect,gen-ii-2013-transit-connect
280,ford,transit-connect,gen-i-2002-2013-transit-connect
281,ford,transit-courier,
282,ford,transit-custom,
283,mercedes-benz,amg-gt,
284,mercedes-benz,citan,
285,mercedes-benz,cl-klasa,gen-c215-1999-2006
286,mercedes-benz,cl-klasa,gen-c216-2006-2013
287,mercedes-benz,cla-klasa,
288,mercedes-benz,clc,
289,mercedes-benz,clk-klasa,gen-w208-1997-2002
290,mercedes-benz,clk-klasa,gen-w209-2002
291,mercedes-benz,cls-klasa,gen-c218-2011
292,mercedes-benz,cls-klasa,gen-c219-2004-2010
293,mercedes-benz,cls-klasa,gen-c257-2018
294,mercedes-benz,gl-klasa,gen-x164-2006-2012
295,mercedes-benz,gl-klasa,gen-x166-2012
296,mercedes-benz,gla-klasa,
297,mercedes-benz,glb-klasa,
298,mercedes-benz,glc-klasa,
299,mercedes-benz,gle-klasa,gen-w166-2015-2019
300,mercedes-benz,gle-klasa,gen-w167-2019
301,mercedes-benz,glk-klasa,
302,mercedes-benz,gls-klasa,
303,mercedes-benz,a-klasa,gen-w169-2004-2012
304,mercedes-benz,a-klasa,gen-w176-2012
305,mercedes-benz,a-klasa,gen-w177-2018
306,mercedes-benz,a-klasa,gen-w168-1997-2004
307,mercedes-benz,b-klasa,gen-w246-2011
308,mercedes-benz,b-klasa,gen-w247-2018
309,mercedes-benz,b-klasa,gen-w245-2005-2011
310,mercedes-benz,c-klasa,gen-w203-2000-2007
311,mercedes-benz,c-klasa,gen-w204-2007-2014
312,mercedes-benz,c-klasa,gen-w205-2014
313,mercedes-benz,c-klasa,gen-w206-2021
314,mercedes-benz,c-klasa,gen-w202-1993-2001
315,mercedes-benz,e-klasa,gen-w210-1995-2002
316,mercedes-benz,e-klasa,gen-w211-2002-2009
317,mercedes-benz,e-klasa,gen-w212-2009
318,mercedes-benz,e-klasa,gen-w213-2016
319,mercedes-benz,e-klasa,gen-w124-1993-1997
320,mercedes-benz,g-klasa,gen-w463-1992
321,mercedes-benz,g-klasa,gen-w483
322,mercedes-benz,r-klasa,
323,mercedes-benz,s-klasa,gen-w140-1992-1998
324,mercedes-benz,s-klasa,gen-w220-1998-2005
325,mercedes-benz,s-klasa,gen-w221-2005
326,mercedes-benz,s-klasa,gen-w221-2005-2013
327,mercedes-benz,s-klasa,gen-w222-2013
328,mercedes-benz,s-klasa,gen-w223-2020
329,mercedes-benz,v-klasa,
330,mercedes-benz,m-klasa,gen-w164-2005-2011
331,mercedes-benz,m-klasa,gen-w166-2011
332,mercedes-benz,m-klasa,gen-w163-1998-2005
333,mercedes-benz,sl,gen-r129-1989-2000
334,mercedes-benz,sl,gen-r230-2001-2013
335,mercedes-benz,sl,gen-r231-2012
336,mercedes-benz,slk-klasa,
337,mercedes-benz,sprinter,gen-ii-2000-2006
338,mercedes-benz,sprinter,gen-iii-2006-sprinter
339,mercedes-benz,viano,
340,mercedes-benz,vito,gen-w447-2014
341,mercedes-benz,vito,gen-w639-2003
342,renault,arkana,
343,renault,captur,
344,renault,clio,gen-ii-1998-2012
345,renault,clio,gen-iii-2005-2012
346,renault,clio,gen-iv-2012-clio
347,renault,clio,gen-v-2019
348,renault,espace,gen-iv-2003-2014
349,renault,espace,gen-v-2015
350,renault,grand-espace,
351,renault,grand-scenic,gen-iii-2009-2013-grand-scenic
352,renault,grand-scenic,gen-iv-2013-grand-scenic
353,renault,grand-scenic,gen-ii-2003-2009-grand-scenic
354,renault,fluence,
355,renault,kadjar,
356,renault,kangoo,gen-ii-2008-
357,renault,kangoo,gen-iv-2013-kangoo
358,renault,koleos,
359,renault,laguna,gen-ii-2001-2007
360,renault,laguna,gen-iii-2007
361,renault,megane,gen-ii-2002-2008
362,renault,megane,gen-iii-2008-2016
363,renault,megane,gen-iv-2016
364,renault,modus,
365,renault,scenic,gen-ii-2003-2009-scenic
366,renault,scenic,gen-iii-2009-2013
367,renault,scenic,gen-iv-2013
368,renault,talisman,
369,renault,thalia,
370,renault,trafic,gen-ii-2001-2014
371,renault,trafic,gen-iii-2014-trafic
372,renault,twingo,gen-ii-2007-2014-twingo
373,renault,twingo,gen-iii-2014-twingo
374,renault,zoe,
375,toyota,auris,gen-ii-2012
376,toyota,auris,gen-i-2006-2012-auris
377,toyota,avensis,gen-ii-2003-2009
378,toyota,avensis,gen-iii-2009
379,toyota,aygo,gen-i-2005-2014
380,toyota,aygo,gen-ii-2014-aygo
381,toyota,c-hr,
382,toyota,camry,
383,toyota,corolla,gen-seria-e11-1997-2002
384,toyota,corolla,gen-seria-e12-2001-2007
385,toyota,corolla,gen-seria-e15-2007
386,toyota,corolla,gen-seria-e16-2012
387,toyota,corolla,gen-e21-2019
388,toyota,corolla-verso,
389,toyota,land-cruiser,gen-iii-1996-2002
390,toyota,land-cruiser,gen-iv-2002-2009
391,toyota,land-cruiser,gen-v-2008-2010
392,toyota,land-cruiser,gen-vi-2010
393,toyota,prius,gen-ii-2003-2009-prius
394,toyota,prius,gen-iii-2009-2015
395,toyota,prius,gen-iv-2015-prius
396,toyota,prius_plus,
397,toyota,proace-verso,
398,toyota,rav4,gen-ii-2000-2005
399,toyota,rav4,gen-iii-2006-2012-rav4
400,toyota,rav4,gen-iv-2012
401,toyota,rav4,gen-v-2018-rav4
402,toyota,sienna,
403,toyota,yaris,gen-ii-2005-2011
404,toyota,yaris,gen-iii-2011
405,toyota,yaris,gen-iv-2020
406,toyota,verso,
407,skoda,citigo,
408,skoda,enyaq,
409,skoda,fabia,gen-ii-2007
410,skoda,fabia,gen-iii-2014
411,skoda,fabia,gen-iv-2021
412,skoda,fabia,gen-i-1999-2008
413,skoda,kamiq,
414,skoda,karoq,
415,skoda,kodiaq,
416,skoda,octavia,gen-i-1996-2011
417,skoda,octavia,gen-ii-2004-2013
418,skoda,octavia,gen-iii-2013
419,skoda,octavia,gen-iv-2019-octavia
420,skoda,rapid,
421,skoda,roomster,
422,skoda,scala,
423,skoda,superb,gen-ii-2008
424,skoda,superb,gen-iii-2015
425,skoda,superb,gen-i-2001-2008
426,skoda,yeti,
427,alfa-romeo,147,
428,alfa-romeo,159,
429,alfa-romeo,giulia,
430,alfa-romeo,giulietta,
431,alfa-romeo,mito,
432,chevrolet,aveo,
433,chevrolet,camaro,
434,chevrolet,cruze,
435,chevrolet,orlando,
436,citroen,berlingo,gen-ii-2008-berlingo
437,citroen,berlingo,gen-iii-2018-berlingo
438,citroen,berlingo,gen-i-1996-2010
439,citroen,c3-aircross,
440,citroen,c3-picasso,
441,citroen,c4-cactus,
442,citroen,c4-grand-picasso,
443,citroen,c4-picasso,gen-i-2006-2013-c4-picasso
444,citroen,c4-picasso,gen-ii-2013-c4-picasso
445,citroen,c5,gen-ii-2004-2008
446,citroen,c5,gen-iii-2008
447,citroen,c5,gen-i-2001-2004
448,citroen,c5-aircross,
449,citroen,ds3,
450,citroen,ds4,
451,citroen,ds5,
452,citroen,xsara-picasso,
453,fiat,500,
454,fiat,500l,
455,fiat,500x,
456,fiat,bravo,gen-ii-2007-bravo
457,fiat,doblo,gen-i-2000-2010-doblo
458,fiat,doblo,gen-ii-2009
459,fiat,freemont,
460,fiat,grande-punto,
461,fiat,panda,gen-ii-2003-2012
462,fiat,panda,gen-iii-2011-panda
463,fiat,punto,gen-ii-1999-2003
464,fiat,punto,gen-ii-fl-2003
465,fiat,punto-evo,
466,fiat,tipo,gen-ii-2016
467,honda,accord,gen-iv-1990-1993
468,honda,accord,gen-ix-2012-2018
469,honda,accord,gen-vi-1998-2002
470,honda,accord,gen-vii-2002-2008
471,honda,accord,gen-viii-2008
472,honda,accord,gen-x-2018
473,honda,cr-v,gen-ii-2001-2006
474,honda,cr-v,gen-iii-2006-2012
475,honda,cr-v,gen-iv-2012-cr-v
476,honda,cr-v,gen-v-2018
477,honda,hr-v,gen-ii-2015-hr-v
478,honda,hr-v,gen-iii-2021-hr-v
479,honda,hr-v,gen-i-1998-2006-hr-v
480,honda,jazz,gen-ii-2002-2008-jazz
481,honda,jazz,gen-iii-2008-2014
482,honda,jazz,gen-iv-2015-jazz
483,honda,jazz,gen-v-2020
484,honda,civic,gen-ix-2011
485,honda,civic,gen-vi-1995-2001
486,honda,civic,gen-vii-2001-2006
487,honda,civic,gen-viii-2006-2011
488,honda,civic,gen-x-2017
489,honda,civic,gen-xi-2021
490,hyundai,elantra,gen-ii-2006-2010
491,hyundai,elantra,gen-iii-2010-2015-elantra
492,hyundai,elantra,gen-iv-2016-elantra
493,hyundai,i10,gen-i-2008-2013
494,hyundai,i10,gen-ii-2013-i10
495,hyundai,i20,gen-i-2008-2014
496,hyundai,i20,gen-ii-2014
497,hyundai,i30,gen-ii-2012-i30
498,hyundai,i30,gen-iii-2017
499,hyundai,i30,gen-i-2007-2012
500,hyundai,i40,
501,hyundai,ix20,
502,hyundai,ix35,
503,hyundai,kona,
504,hyundai,santa-fe,gen-ii-2006-2012
505,hyundai,santa-fe,gen-iii-2012-santa-fe
506,hyundai,santa-fe,gen-iv-2018
507,hyundai,santa-fe,gen-i-2000-2006
508,hyundai,tucson,gen-ii-2015
509,hyundai,tucson,gen-iii-2015-2020
510,hyundai,tucson,gen-iv-2020
511,hyundai,tucson,gen-i-2004-2010-tucson
512,kia,carens,gen-ii-2002-2006
513,kia,carens,gen-iii-2006-2012-carens
514,kia,carens,gen-iv-2013-carens
515,kia,ceed,gen-ii-2012-ceed
516,kia,ceed,gen-iii-2018
517,kia,ceed,gen-i-2006-2012
518,kia,optima,
519,kia,picanto,gen-ii-2011
520,kia,picanto,gen-iii-2017-picanto
521,kia,picanto,gen-i-2004-2010-picanto
522,kia,pro-ceed,
523,kia,sorento,gen-ii-2009-2015
524,kia,sorento,gen-iii-2015-sorento
525,kia,sorento,gen-iv-2020-sorento
526,kia,sorento,gen-i-2002-2009-sorento
527,kia,soul,gen-ii-2014-soul
528,kia,soul,gen-iii-2019-soul
529,kia,soul,gen-i-2009-2014
530,kia,sportage,gen-ii-2004-2010
531,kia,sportage,gen-iii-2010-2015
532,kia,sportage,gen-iv-2016-sportage
533,kia,stinger,
534,kia,stonic,
535,kia,venga,
536,kia,xceed,
537,mazda,2,gen-ii-2007-2014
538,mazda,2,gen-iii-2015-2
539,mazda,2,gen-i-2003-2007
540,mazda,3,gen-ii-2009-2013
541,mazda,3,gen-iii-2013-3
542,mazda,3,gen-iv-2019-3
543,mazda,3,gen-i-2003-2009
544,mazda,5,gen-ii-2010-5
545,mazda,5,gen-i-2005-2010
546,mazda,6,gen-i-2002-2008
547,mazda,6,gen-ii-2007-2013-6
548,mazda,6,gen-iii-2012-6
549,mazda,cx-3,
550,mazda,cx-5,
551,mazda,cx-7,
552,mazda,cx-9,
553,mazda,cx-30,
554,mazda,mx-5,
555,mini,clubman,
556,mini,cooper,
557,mini,cooper-s,
558,mini,countryman,
559,mini,one,
560,mitsubishi,asx,
561,mitsubishi,colt,gen-z30-2004-2012
562,mitsubishi,eclipse-cross,
563,mitsubishi,lancer,gen-ix-2005-2008
564,mitsubishi,lancer,gen-viii-2007
565,mitsubishi,outlander,gen-ii-2006-2013
566,mitsubishi,outlander,gen-iii-2012-outlander
567,mitsubishi,outlander,gen-i-2001-2006
568,mitsubishi,space-star,gen-ii-2012-space-star
569,nissan,almera,gen-n16-2000-2006
570,nissan,juke,gen-i-2010-2019
571,nissan,juke,gen-ii-2019
572,nissan,leaf,
573,nissan,micra,gen-k12-2003-2010
574,nissan,micra,gen-k13-2010
575,nissan,micra,gen-k14-2017
576,nissan,murano,
577,nissan,note,gen-ii-2013-note
578,nissan,note,gen-i-2005-2013
579,nissan,patrol,gen-gr-ii-y61-1997
580,nissan,primera,gen-p11-1996-2002
581,nissan,primera,gen-p12-2001
582,nissan,qashqai,gen-i-2007-2013
583,nissan,qashqai,gen-ii-2013
584,nissan,qashqai-2,
585,nissan,x-trail,gen-i-2001-2007
586,nissan,x-trail,gen-ii-2007-2014-x-trail
587,nissan,x-trail,gen-iii-2014-x-trail
588,peugeot,206,
589,peugeot,207,
590,peugeot,208,
591,peugeot,307,
592,peugeot,308,
593,peugeot,407,
594,peugeot,508,
595,peugeot,2008,
596,peugeot,3008,gen-i-2009-2016
597,peugeot,3008,gen-ii-2016-3008
598,peugeot,5008,gen-i-2009-2017
599,peugeot,5008,gen-ii-2017-5008
600,peugeot,expert,
601,peugeot,partner,gen-i-1996-2007
602,peugeot,partner,gen-ii-2008-partner
603,seat,alhambra,gen-i-1996-2010-alhambra
604,seat,alhambra,gen-ii-2010-alhambra
605,seat,altea,
606,seat,altea-xl,
607,seat,arona,
608,seat,ateca,
609,seat,exeo,
610,seat,ibiza,gen-ii-fl-1999-2002
611,seat,ibiza,gen-iii-2002-2008
612,seat,ibiza,gen-iv-2008
613,seat,ibiza,gen-v-2017
614,seat,leon,gen-ii-2005-2012
615,seat,leon,gen-iii-2012
616,seat,leon,gen-seat-leon-iv
617,seat,leon,gen-i-1999-2005-leon
618,seat,toledo,gen-ii-1999-2004
619,seat,toledo,gen-iii-2004-2009
620,seat,toledo,gen-iv-2012-toledo
621,volvo,c30,
622,volvo,s40,
623,volvo,s40,gen-ii-2004
624,volvo,s60,gen-ii-2010-s60
625,volvo,s60,gen-iii-2018-s60
626,volvo,s60,gen-ii-2010-s60
627,volvo,s60,gen-iii-2018-s60
628,volvo,s80,gen-ii-2006
629,volvo,s80,gen-i-1998-2006
630,volvo,v40,gen-i-1995-2004
631,volvo,v40,gen-ii-2012-v40
632,volvo,v50,
633,volvo,v60,gen-i-2011-2018
634,volvo,v60,gen-ii-2018
635,volvo,v70,gen-ii-1999-2007
636,volvo,v70,gen-iii-2007-v70
637,volvo,v90,
638,volvo,xc-40,
639,volvo,xc-60,gen-i-2008-2017
640,volvo,xc-60,gen-ii-2017
641,volvo,xc-70,
642,volvo,xc-90,gen-i-2002
643,volvo,xc-90,gen-ii-2014-xc-90
